fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,ticker
2017-06-30,EUR,2236000000,5619000000,3383000000,3383000000,-45000000,2496331000,1214000000,2120000000,None,None,None,218000000,None,None,None,407000000,-261000000,172000000,None,876000000,None,116000000,523000000,-437000000,NOK
2017-03-31,EUR,2126000000,5378000000,3252000000,3252000000,-127000000,2271185000,1265000000,2184000000,None,None,None,146000000,None,None,None,404000000,-282000000,154000000,None,-436000000,None,-59000000,345000000,-488000000,NOK
2016-12-31,EUR,2658000000,6641000000,3983000000,3983000000,317000000,1867650000,1260000000,2231000000,None,None,None,72000000,None,None,None,403000000,257000000,-401000000,None,-912000000,None,428000000,831000000,633000000,NOK
2016-09-30,EUR,2216000000,5890000000,3674000000,3674000000,55000000,2418755000,1196000000,2121000000,None,None,None,80000000,None,None,None,374000000,-22000000,111000000,None,0,None,95000000,469000000,-125000000,NOK
2016-06-30,EUR,2028000000,5583000000,3555000000,3555000000,-760000000,2240931000,1211000000,2145000000,None,None,None,32000000,None,None,None,411000000,-791000000,-65000000,None,0,None,-117000000,294000000,-665000000,NOK
2016-03-31,EUR,1673000000,3609000000,1936000000,1936000000,641000000,2411263000,550000000,1029000000,None,None,None,46000000,None,None,None,76000000,615000000,115000000,None,0,None,644000000,720000000,1790000000,NOK
2015-12-31,EUR,1673000000,3609000000,1936000000,1936000000,641000000,992529000,550000000,1029000000,None,None,None,46000000,None,None,None,76000000,615000000,115000000,None,1194000000,None,644000000,720000000,1790000000,NOK
2015-09-30,EUR,1298000000,3036000000,1738000000,1738000000,330000000,982644000,492000000,887000000,None,None,None,81000000,None,None,None,79000000,247000000,60000000,None,0,None,410000000,489000000,152000000,NOK
2015-06-30,EUR,1535000000,3209000000,1674000000,1674000000,508000000,1091594000,669000000,1133000000,None,None,None,29000000,None,None,None,83000000,474000000,121000000,None,0,None,402000000,485000000,347000000,NOK
2015-03-31,EUR,1358000000,3196000000,1838000000,1838000000,237000000,1005358000,684000000,1095000000,None,None,None,20000000,None,None,None,82000000,236000000,56000000,None,0,None,262000000,344000000,177000000,NOK
2014-12-31,EUR,1655000000,3802000000,2147000000,2147000000,454000000,1016380000,698000000,1201000000,None,None,None,39000000,None,None,None,-1000000,412000000,84000000,None,2718000000,None,454000000,453000000,443000000,NOK
2014-09-30,EUR,1478000000,3324000000,1846000000,1846000000,-810000000,896437000,626000000,1078000000,None,None,None,22000000,None,None,None,2419000000,-834000000,-1594000000,None,0,None,-810000000,1609000000,747000000,NOK
2014-06-30,EUR,1294000000,2942000000,1648000000,1648000000,284000000,847381000,580000000,1009000000,None,None,None,261000000,None,None,None,1000000,18000000,44000000,None,0,None,284000000,285000000,2510000000,NOK
2014-03-31,EUR,-6291000000,-4500000000,1791000000,1791000000,666000000,43000000,255000000,-1414000000,None,None,None,64000000,None,None,None,47000000,618000000,-144000000,None,0,None,666000000,713000000,-25000000,NOK
2013-12-31,EUR,-196000000,-4500000000,-4304000000,-4304000000,666000000,43000000,255000000,-1414000000,None,None,None,64000000,None,None,None,47000000,618000000,-144000000,None,0,None,666000000,713000000,-25000000,NOK
2013-09-30,EUR,1795000000,5662000000,3867000000,3867000000,118000000,214000000,891000000,1677000000,None,None,None,64000000,None,None,None,None,57000000,161000000,None,0,None,57000000,118000000,-91000000,NOK
